taskno	X	Y	Z
1.1 	0	0	0
1.6 	1	0	0
1.0 	2	0	0
1.10 	3	0	0
1.8 	4	0	0
1.5 	5	0	0
2.4 	6	0	0
2.15 	7	0	0
2.19 	0	1	0
2.0 	1	1	0
2.6 	2	1	0
2.1 	3	1	0
2.9 	4	1	0
2.13 	5	1	0
2.12 	6	1	0
2.3 	7	1	0
3.6 	0	2	0
3.1 	1	2	0
3.21 	2	2	0
3.14 	3	2	0
3.11 	4	2	0
3.2 	5	2	0
3.8 	6	2	0
3.7 	7	2	0
4.10 	0	3	0
4.4 	1	3	0
4.6 	2	3	0
4.1 	3	3	0
3.23 	4	3	0
3.19 	5	3	0
3.17 	6	3	0
3.16 	7	3	0
4.7 	0	4	0
4.0 	1	4	0
5.8 	2	4	0
5.2 	3	4	0
5.3 	4	4	0
5.17 	5	4	0
5.14 	6	4	0
5.1 	7	4	0
5.15 	3	5	0
5.20 	4	5	0
5.16 	5	5	0
5.0 	6	5	0
5.7 	7	5	0
1.4 	0	0	1
1.7 	1	0	1
1.2 	2	0	1
1.11 	3	0	1
1.9 	4	0	1
1.3 	5	0	1
2.11 	6	0	1
2.16 	7	0	1
2.8 	0	1	1
2.14 	1	1	1
2.7 	2	1	1
2.2 	3	1	1
2.10 	4	1	1
2.17 	5	1	1
2.18 	6	1	1
2.5 	7	1	1
3.15 	0	2	1
3.3 	1	2	1
3.22 	2	2	1
3.20 	3	2	1
3.13 	4	2	1
3.4 	5	2	1
3.10 	6	2	1
3.12 	7	2	1
4.2 	0	3	1
4.5 	1	3	1
4.8 	2	3	1
4.3 	3	3	1
3.0 	4	3	1
3.5 	5	3	1
3.9 	6	3	1
3.18 	7	3	1
4.9 	0	4	1
5.13 	2	4	1
5.10 	3	4	1
5.4 	4	4	1
5.21 	5	4	1
5.18 	6	4	1
5.12 	7	4	1
5.5 	3	5	1
5.6 	4	5	1
5.19 	5	5	1
5.11 	6	5	1
5.9 	7	5	1
