#task tileno
0 2
1 0
2 38
3 41
4 36
5 5
6 1
7 37
8 4
9 40
10 3
11 39
12 14
13 12
14 48
15 9
16 11
17 45
18 13
19 49
20 51
21 6
22 42
23 47
24 8
25 7
26 50
27 10
28 46
29 43
30 44
31 15
32 119
33 88
34 84
35 124
36 120
37 118
38 89
39 79
40 78
41 117
42 114
43 85
44 115
45 121
46 86
47 125
48 80
49 81
50 116
51 82
52 122
53 87
54 123
55 83
56 72
57 77
58 110
59 113
60 75
61 111
62 76
63 73
64 112
65 109
66 74
67 154
68 149
69 145
70 146
71 182
72 187
73 188
74 155
75 144
76 191
77 181
78 190
79 185
80 180
81 148
82 151
83 153
84 147
85 184
86 189
87 152
88 183
